hypothesis,sub_signal,pinned,is_auc,oos_auc,delta,weight,flags
macro_equities,sub_spx_overext_rank,True,0.43151172427241263,0.6665719023927978,-0.2350601781203852,0.025942048047106182,A
macro_equities,sub_real_rate_rank,False,0.617559596353532,0.7406775645581616,-0.12311796820462961,0.30497366970017353,
macro_equities,sub_hy_spread_roc_rank,True,0.5680041924633159,0.5373608149727553,0.030643377490560564,0.17641680282879973,
macro_equities,sub_yield_curve_roc_rank,False,0.6053273533856579,0.5319118692253022,0.0734154841603557,0.273240726220527,
macro_equities,sub_rates_abs_stress_rank,False,0.5229464242187881,0.6043354655294954,-0.08138904131070723,0.059527723959308235,
macro_equities,sub_fed_funds_stress_rank,True,0.5053580656169259,0.07197346600331675,0.4333845996136091,0.025942048047106182,C
macro_equities,sub_vix_z90_rank,True,0.5416370106761567,0.5842217484008528,-0.042584737724696176,0.10801493314987293,
macro_equities,sub_fx_stress_rank,False,0.5015746112221517,0.7126747216299455,-0.21110011040779375,0.025942048047106182,
crypto_derivatives,sub_funding_divergence_rank,False,0.6273287816237959,0.5550343520492775,0.07229442957451837,0.19510352187256638,
crypto_derivatives,sub_liq_stress_rank,False,0.5761877909907033,0.5334991708126037,0.0426886201780996,0.11674113390871582,
crypto_derivatives,sub_speculation_ratio_rank,False,0.6844103761108761,0.6848140251125326,-0.0004036490016565697,0.2825685865382735,
crypto_derivatives,sub_cvd_divergence_rank,False,0.5689123333685993,0.4344468135512912,0.13446551981730803,0.10559308562611273,
crypto_derivatives,sub_alt_rotation_rank,False,0.530253984063745,0.5491589670694148,-0.018904983005669784,0.04635761660669209,
crypto_derivatives,sub_funding_zscore_rank,True,0.5081257025103034,0.5164652925846956,-0.008339590074392222,0.015322813851232546,
crypto_derivatives,sub_lev_stress_rank,True,0.5178040888864771,0.4206586117033878,0.0971454771830893,0.027280873979828688,
crypto_derivatives,sub_coin_margin_ratio_rank,True,0.5664740266610241,0.4142620232172471,0.152212003443777,0.10185691364687413,
crypto_derivatives,sub_basis_rank,False,0.5612502644942868,0.5472162994551054,0.014033965039181417,0.09385264011847153,
crypto_derivatives,sub_rv21_zscore_rank,True,0.3634267218578079,0.5036247334754798,-0.14019801161767187,0.015322813851232546,
eth,sub_eth_funding_divergence_rank,False,0.6251640732507674,0.5076995972518361,0.11746447599893128,0.2895247719002592,
eth,sub_eth_speculation_ratio_rank,False,0.6501153856326705,0.6377635631366975,0.012351822495972997,0.34724119833445816,
eth,sub_eth_liq_stress_rank,False,0.5328928655192546,0.5710495143330965,-0.03815664881384184,0.07608652498491383,
eth,sub_eth_funding_zscore_rank,False,0.5045897339827651,0.45756929637526655,0.04702043760749852,0.023131619511950016,
eth,sub_eth_cvd_divergence_rank,False,0.5140380342784596,0.6424543946932006,-0.12841636041474103,0.03247224676250397,
eth,sub_eth_btc_dominance_rank,False,0.5024688219236739,0.43837953091684434,0.06408929100682959,0.023131619511950016,
eth,sub_eth_basis_compression_rank,False,0.5900983257511637,0.6155887230514097,-0.025490397300245937,0.20841201899396475,
