variant,regime,macro_equities,cme,crypto_derivatives,classic_cycle,etf_flows
wf365_y_60,bull,0.317635,0.011697,0.460014,0.173094,0.037559
wf365_y_60,neutral,0.327192,0.202386,0.326415,0.062474,0.081533
wf365_y_60,bear,0.062517,0.474323,0.020905,0.124786,0.317469
wf365_y_30,bull,0.399046,0.064193,0.330349,0.196708,0.009705
wf365_y_30,neutral,0.231162,0.273056,0.188970,0.014868,0.291943
wf365_y_30,bear,0.118668,0.693134,0.039369,0.119829,0.029000
sf730_y_60,bull,0.262118,0.058511,0.492008,0.121315,0.066048
sf730_y_60,neutral,0.323286,0.197387,0.324781,0.067002,0.087545
sf730_y_60,bear,0.195640,0.656312,0.022191,0.125857,0.000000
sf730_y_30,bull,0.341021,0.300045,0.295106,0.034436,0.029393
sf730_y_30,neutral,0.172133,0.245924,0.161348,0.011895,0.408701
sf730_y_30,bear,0.156799,0.606889,0.052626,0.183686,0.000000
